filename;filepath;original_width;original_height;input_width;input_height;predicted_class;class_name;confidence;confidence_percent;prob_class_0;prob_class_1;logit_class_0;logit_class_1;device;time_ms
m_000003.jpg;internet_test_images\m_000003.jpg;224;224;224;224;1;class_1;0.9984612464904785;99.84612464904785;0.001538770506158471;0.9984612464904785;-4.066080570220947;2.409151077270508;cpu;125.00381469726562
m_000011.jpg;internet_test_images\m_000011.jpg;224;224;224;224;1;class_1;1.0;100.0;2.226273383637336e-19;1.0;-21.574268341064453;21.37451934814453;cpu;13.997793197631836
m_000014.jpg;internet_test_images\m_000014.jpg;224;224;224;224;1;class_1;1.0;100.0;8.848385912862966e-11;1.0;-11.869888305664062;11.278311729431152;cpu;15.999794006347656
m_000019.jpg;internet_test_images\m_000019.jpg;224;224;224;224;1;class_1;1.0;100.0;2.7833113591668734e-08;1.0;-9.26932430267334;8.127715110778809;cpu;12.995243072509766
m_000046.jpg;internet_test_images\m_000046.jpg;224;224;224;224;1;class_1;0.9189507365226746;91.89507365226746;0.08104925602674484;0.9189507365226746;-2.312647581100464;0.11552785336971283;cpu;16.99662208557129
m_000051.jpg;internet_test_images\m_000051.jpg;224;224;224;224;1;class_1;1.0;100.0;6.968199974353857e-22;1.0;-24.620412826538086;24.09510040283203;cpu;12.00413703918457
m_000054.jpg;internet_test_images\m_000054.jpg;224;224;224;224;1;class_1;1.0;100.0;1.4355223222490263e-18;1.0;-21.04865264892578;20.03635025024414;cpu;11.998176574707031
m_000059.jpg;internet_test_images\m_000059.jpg;224;224;224;224;1;class_1;1.0;100.0;1.1635088725814313e-10;1.0;-12.06466007232666;10.8097505569458;cpu;15.992403030395508
m_000182.jpg;internet_test_images\m_000182.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;4.239410257585208e-29;27.956729888916016;-37.37381362915039;cpu;15.999555587768555
m_000219.jpg;internet_test_images\m_000219.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;1.3974539087423395e-15;14.396686553955078;-19.807437896728516;cpu;13.99850845336914
m_000230.jpg;internet_test_images\m_000230.jpg;224;224;224;224;1;class_1;0.999998927116394;99.9998927116394;1.019194996842998e-06;0.999998927116394;-7.704035758972168;6.092460632324219;cpu;11.999845504760742
m_000251.jpg;internet_test_images\m_000251.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;2.77996701179839e-13;12.129301071166992;-16.7818660736084;cpu;11.999368667602539
m_000462.jpg;internet_test_images\m_000462.jpg;224;224;224;224;0;class_0;0.9999997615814209;99.99997615814209;0.9999997615814209;2.0227852814969083e-07;6.392796516418457;-9.02082347869873;cpu;10.996818542480469
m_000475.jpg;internet_test_images\m_000475.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;9.211498230854431e-09;7.147615909576416;-11.355196952819824;cpu;14.99485969543457
m_000502.jpg;internet_test_images\m_000502.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;7.65215713016687e-09;7.6750311851501465;-11.0132474899292;cpu;12.996435165405273
m_000507.jpg;internet_test_images\m_000507.jpg;224;224;224;224;1;class_1;0.999994158744812;99.9994158744812;5.803845397167606e-06;0.999994158744812;-6.752584934234619;5.304398536682129;cpu;13.99993896484375
m_000582.jpg;internet_test_images\m_000582.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;4.335136763455871e-11;9.90392017364502;-13.957762718200684;cpu;12.996435165405273
m_000587.jpg;internet_test_images\m_000587.jpg;224;224;224;224;0;class_0;1.0;100.0;1.0;4.25830694693991e-15;13.953099250793457;-19.13680648803711;cpu;13.998746871948242
m_000627.jpg;internet_test_images\m_000627.jpg;224;224;224;224;1;class_1;1.0;100.0;2.162865291597052e-13;1.0;-15.020763397216797;14.141408920288086;cpu;12.000799179077148
m_000643.jpg;internet_test_images\m_000643.jpg;224;224;224;224;0;class_0;0.9999041557312012;99.99041557312012;0.9999041557312012;9.582824714016169e-05;2.7096571922302246;-6.54319953918457;cpu;11.995077133178711
